SurveyID,kV,HVL_meas,HVL_meter,,,,
1547,60,2.240986036,2.20350647,2.203722,,,
1547,80,2.947954256,2.8610816,2.869036198,2.859558105,2.864459753,2.867675304
1547,100,3.670925613,3.669559717,3.484696627,,,
1547,120,4.415272933,4.388684273,4.386820316,,,
1546,60,2.186340118,2.110381842,2.147215843,,,
1546,80,2.831481412,2.721544266,2.722820997,2.726587057,2.727881432,2.717100143
1546,100,3.534749879,3.351680279,3.364908218,,,
1546,120,4.237630969,4.1912117,4.183451176,,,
1491,60,2.128254034,2.102998972,2.08012557,,,
1491,80,2.804623629,2.727365017,2.738866568,2.721525908,2.737035275,2.736259937
1491,120,4.19082935,4.192036152,4.191511154,,,
1634,60,2.113712325,2.125392675,2.145639658,,,
1634,80,2.833739543,2.8190763,2.810215235,2.833699465,2.822408438,2.823842764
1634,100,3.621453532,3.443481445,3.455921888,,,
1634,120,4.322719296,4.226894379,4.225572109,,,
1604,60,2.694935258,2.699757576,2.717362165,,,
1604,80,3.61580254,3.563570023,3.563873768,3.574494362,3.579860687,3.576417685
1604,100,4.514806892,4.519931793,4.5273633,,,
1604,120,5.396729385,5.412815094,5.403801441,,,
1573,60,2.128597325,2.067887783,2.090195417,,,
1573,80,2.869265291,2.802087069,2.801663637,2.800055027,2.790997267,2.799831629
1573,100,3.656277555,3.49413991,3.473705053,,,
1573,120,4.327062237,4.300235271,4.306750298,,,
1494,60,2.245148525,2.230216503,2.225250721,,,
1494,80,3.015529747,3.009017467,3.015408039,3.005196571,3.007818222,3.005622864
1494,120,4.45792673,4.564531803,4.556708813,,,
1620,60,2.194025407,2.212568521,2.206967115,,,
1620,80,3.014218463,2.953441381,2.944155216,2.938246727,2.947859049,2.942224503
1620,100,3.653175485,3.486188412,3.491981983,,,
1620,120,4.48259267,4.381787777,4.395192146,,,
1555,60,2.341839305,2.311442614,2.310806274,,,
1555,80,3.151512804,3.050014734,3.05446291,3.050919294,3.051282406,3.060059309
1555,120,4.750855634,4.736174583,4.738245964,,,
1520,60,2.35460872,2.317266703,2.294941902,,,
1520,80,3.182194485,3.077322006,3.075084448,3.078556299,3.078360081,3.080206156
1520,120,4.677075871,4.66106987,4.664672375,,,
1504,60,2.602489902,2.552689552,2.544196606,,,
1504,80,3.457156344,3.401910543,3.417879105,3.434719086,3.401968718,3.399612427
1504,120,5.420427529,5.431815147,5.437791824,,,
1519,60,2.329595344,2.355821848,2.257248878,,,
1519,80,3.108064669,2.982450247,2.991638184,3.003466606,2.998226643,2.998815775
1519,120,4.635320614,4.638360023,4.631728649,,,
1536,60,2.276988099,2.221772671,2.221972466,,,
1536,80,3.050712095,3.010384321,3.01464057,3.012976885,3.00547266,3.014154196
