SurveyID,60kV,80kV,100kV,120kV,Slope,Intercept,R2
1505,2.295360697,2.9828123591,,4.4031056132,0.0351831176,0.1778893673,0.9999363164
1495,2.1625442161,2.8419891313,,4.0929072816,0.03204418,0.2553179391,0.9995657519
1475,,3.0325064728,,,,,
1489,2.1601638982,2.7537413721,,3.8509267554,0.0280722743,0.4886802334,0.9996071104
1478,,2.9177058591,,,,,
1483,,3.0196072992,,,,,
1488,2.2206686499,2.9649463081,,4.4351718743,0.0368865659,0.0100932291,0.9999905512
1476,,2.8039541323,,,,,
1480,,3.2589006472,,,,,
1481,,3.005190557,,,,,
1637,2.2670214772,3.0986267103,3.8610346366,4.7531742099,0.0411043306,-0.2044254974,0.9991440819
1638,2.1651925476,3.0275507761,3.6694275098,4.5469797804,0.0389361922,-0.151969641,0.9965615046
1487,,3.1876471391,,,,,
1486,,3.1304733398,,,,,
1485,,3.4813994162,,,,,
1621,2.2375565805,3.0870867382,3.8240844086,4.6865368314,0.0404196921,-0.1789561507,0.9991213114
1560,2.2233952509,2.9254700114,3.6196562889,4.3519556669,0.0353993376,0.094178918,0.9998666742
1564,2.6189954653,3.4644873882,4.3366127199,5.2361935393,0.0436185978,-0.011601521,0.999807815
1680,2.1864391676,2.8997603767,3.6559520669,4.5352172215,0.0390126293,-0.1917944251,0.9976382965
1686,2.3452228922,3.1253421512,3.8410732191,4.6148873746,0.0376236226,0.0955053775,0.9997316582
1685,2.3206764004,3.1062971395,3.8891982789,4.6598468263,0.0390020621,-0.0161809264,0.9999800862
,2.47825018,3.3044725378,4.1574727451,5.0747545701,0.0432125669,-0.1353935116,0.9994264381
1696,2.1802061928,2.9081403799,3.5906144872,4.35041127,0.0359654467,0.02045288,0.999610675
1698,2.5264619375,3.3493682245,4.2039311097,4.9602220152,0.0407792156,0.0898664185,0.9994129908
1695,2.225963835,2.9543474389,3.6280660784,4.4195874434,0.0362729473,0.0424259397,0.9990569823
1696,2.1802061928,2.9081403799,3.5906144872,4.35041127,0.0359654467,0.02045288,0.999610675
1692,2.3161606163,3.1378466411,3.9622634238,4.7348363227,0.0404022195,-0.0984230048,0.9997697258
1697,2.221096663,2.9877937805,3.6850169502,4.4586825538,0.0370499042,0.0036561079,0.9996079621
1724,2.370365027,3.1430861096,3.9347475707,4.6814718808,0.0386249101,0.056175737,0.9998750143
1725,2.1893841528,2.8931771906,3.6136289336,4.4697441052,0.037807658,-0.1112056245,0.9977285072
1729,2.6716752876,3.502108228,4.4203285389,5.1420766637,0.0416471222,0.185806182,0.9979881027
1720,2.2804014794,3.0237975554,3.7234793863,4.4312707328,0.035761448,0.1462069724,0.9998236233
1721,2.2696466057,2.9772440866,3.6869446917,4.3683140216,0.0350285143,0.1729710677,0.9999110543
1722,2.1884451968,2.8560349671,3.5644984557,4.2907443565,0.0350768048,0.0680183087,0.9996397557
